kod-okresu;nazev-okresu;pocet-obyvatel;kod-NUTS4-okresu;nazev-kraje
3201;Benešov;99323;CZ0201;Støedoèeský kraj
3202;Beroun;96624;CZ0202;Støedoèeský kraj
3701;Blansko;107912;CZ0641;Jihomoravský kraj
3702;Brno-mìsto;379466;CZ0642;Jihomoravský kraj
3703;Brno-venkov;225514;CZ0643;Jihomoravský kraj
3801;Bruntál;89547;CZ0801;Moravskoslezský kraj
3704;Bøeclav;114801;CZ0644;Jihomoravský kraj
3402;Cheb;87958;CZ0411;Karlovarský kraj
3503;Chomutov;121480;CZ0422;Ústecký kraj
3603;Chrudim;103746;CZ0531;Pardubický kraj
3501;Èeská Lípa;101962;CZ0511;Liberecký kraj
3301;Èeské Budìjovice;195533;CZ0311;Jihoèeský kraj
3302;Èeský Krumlov;60096;CZ0312;Jihoèeský kraj
3502;Dìèín;126294;CZ0421;Ústecký kraj
3401;Domažlice;54391;CZ0321;Plzeòský kraj
3802;Frýdek-Místek;212347;CZ0802;Moravskoslezský kraj
3601;Havlíèkùv Brod;93692;CZ0631;Kraj Vysoèina
3100;Hlavní mìsto Praha;1384732;CZ0100;Hlavní mìsto Praha
3706;Hodonín;151096;CZ0645;Jihomoravský kraj
3602;Hradec Králové;162400;CZ0521;Královéhradecký kraj
3504;Jablonec nad Nisou;90171;CZ0512;Liberecký kraj
3811;Jeseník;36752;CZ0711;Olomoucký kraj
3604;Jièín;78713;CZ0522;Královéhradecký kraj
3707;Jihlava;112415;CZ0632;Kraj Vysoèina
3303;Jindøichùv Hradec;89283;CZ0313;Jihoèeský kraj
3403;Karlovy Vary;110052;CZ0412;Karlovarský kraj
3803;Karviná;240319;CZ0803;Moravskoslezský kraj
3203;Kladno;164493;CZ0203;Støedoèeský kraj
3404;Klatovy;84614;CZ0322;Plzeòský kraj
3204;Kolín;103894;CZ0204;Støedoèeský kraj
3708;Kromìøíž;103445;CZ0721;Zlínský kraj
3205;Kutná Hora;75683;CZ0205;Støedoèeský kraj
3505;Liberec;173890;CZ0513;Liberecký kraj
3506;Litomìøice;117582;CZ0423;Ústecký kraj
3507;Louny;85381;CZ0424;Ústecký kraj
3206;Mìlník;109354;CZ0206;Støedoèeský kraj
3207;Mladá Boleslav;127592;CZ0207;Støedoèeský kraj
3508;Most;106773;CZ0425;Ústecký kraj
3605;Náchod;107973;CZ0523;Královéhradecký kraj
3804;Nový Jièín;149919;CZ0804;Moravskoslezský kraj
3208;Nymburk;101120;CZ0208;Støedoèeský kraj
3805;Olomouc;233588;CZ0712;Olomoucký kraj
3806;Opava;173753;CZ0805;Moravskoslezský kraj
3807;Ostrava-mìsto;312104;CZ0806;Moravskoslezský kraj
3606;Pardubice;172224;CZ0532;Pardubický kraj
3304;Pelhøimov;71571;CZ0633;Kraj Vysoèina
3305;Písek;70769;CZ0314;Jihoèeský kraj
3406;Plzeò-jih;68918;CZ0324;Plzeòský kraj
3405;Plzeò-mìsto;188407;CZ0323;Plzeòský kraj
3407;Plzeò-sever;80666;CZ0325;Plzeòský kraj
3306;Prachatice;50230;CZ0315;Jihoèeský kraj
3209;Praha-východ;188384;CZ0209;Støedoèeský kraj
3210;Praha-západ;151093;CZ020A;Støedoèeský kraj
3709;Prostìjov;107580;CZ0713;Olomoucký kraj
3808;Pøerov;126613;CZ0714;Olomoucký kraj
3211;Pøíbram;114366;CZ020B;Støedoèeský kraj
3212;Rakovník;54898;CZ020C;Støedoèeský kraj
3408;Rokycany;48770;CZ0326;Plzeòský kraj
3607;Rychnov nad Knìžnou;78424;CZ0524;Královéhradecký kraj
3608;Semily;71547;CZ0514;Liberecký kraj
3409;Sokolov;85200;CZ0413;Karlovarský kraj
3307;Strakonice;69773;CZ0316;Jihoèeský kraj
3609;Svitavy;102866;CZ0533;Pardubický kraj
3809;Šumperk;118397;CZ0715;Olomoucký kraj
3308;Tábor;101363;CZ0317;Jihoèeský kraj
3410;Tachov;52941;CZ0327;Plzeòský kraj
3509;Teplice;124472;CZ0426;Ústecký kraj
3610;Trutnov;115073;CZ0525;Královéhradecký kraj
3710;Tøebíè;109183;CZ0634;Kraj Vysoèina
3711;Uherské Hradištì;139829;CZ0722;Zlínský kraj
3510;Ústí nad Labem;116916;CZ0427;Ústecký kraj
3611;Ústí nad Orlicí;135682;CZ0534;Pardubický kraj
3810;Vsetín;140171;CZ0723;Zlínský kraj
3712;Vyškov;92317;CZ0646;Jihomoravský kraj
3705;Zlín;188987;CZ0724;Zlínský kraj
3713;Znojmo;113462;CZ0647;Jihomoravský kraj
3714;Žïár nad Sázavou;117164;CZ0635;Kraj Vysoèina
